Rank,Name,Net Worth,Num Worth,Age,Gender,Source,Country of Citizenship,What I Learned
#752,Renata de Camargo Nascimento,$2.6 B,$2.60,65,Female,construction,Brazil,
#245,Carrie Perrodo,$6 B,$6,65,Female,oil,France,
#1346,Johannes Karcher,$1.5 B,$1.50,65,Female,vacuums/cleaning products,Germany,
#796,Smita Crishna-Godrej,$2.5 B,$2.50,65,Female,diversified,India,
#1168,Folorunsho Alakija,$1.8 B,$1.80,65,Female,oil,Nigeria,
#390,Nancy Walton Laurie,$4.4 B,$4.40,65,Female,Wal-Mart,United States,
#827,Denise York,$2.4 B,$2.40,65,Female,San Francisco 49ers,United States,
#1160,Jennifer Pritzker,$1.8 B,$1.80,65,Female,"hotels, investments",United States,
#820,Rossana Camargo de Arruda Botelho,$2.5 B,$2.50,66,Female,construction,Brazil,
#308,Savitri Jindal,$5.2 B,$5.20,66,Female,steel,India,
#16,Alice Walton,$34.9 B,$34.90,66,Female,Wal-Mart,United States,
#115,Blair Parry-Okeden,$10.7 B,$10.70,66,Female,media,United States,
#482,Mary Alice Dorrance Malone,$3.7 B,$3.70,66,Female,Campbell Soup,United States,
#540,Lottie Tham,$3.5 B,$3.50,67,Female,H&M,Sweden,
#233,Ann Walton Kroenke,$6.1 B,$6.10,67,Female,Wal-Mart,United States,
#272,Christy Walton,$5.5 B,$5.50,67,Female,Wal-Mart,United States,
#924,Bergit Douglas,$2.2 B,$2.20,69,Female,consumer goods,Germany,
#918,Helena Revoredo,$2.2 B,$2.20,69,Female,private security,Spain,
#428,Diane Hendricks,$4.1 B,$4.10,69,Female,roofing,United States,
#1345,Hong Ra-Hee,$1.5 B,$1.50,71,Female,Samsung,South Korea,
#959,Madeleine Olsson Ericksson,$2.1 B,$2.10,71,Female,diversified,Sweden,
#1839,Deniz Sahenk,$1 B,$1,71,Female,"bank, media",Turkey,
#1079,Maritsa Lazari,$1.9 B,$1.90,71,Female,real estate,United Kingdom,
#185,Katharine Rayner,$7.1 B,$7.10,71,Female,media,United States,
#1286,Catherine Lozick,$1.6 B,$1.60,71,Female,valve manufacturing,United States,
#1605,Susan Alfond,$1.2 B,$1.20,71,Female,shoes,United States,
#1282,Elisabeth Badinter & family,$1.6 B,$1.60,72,Female,advertising,France,
#1185,Gail Miller,$1.7 B,$1.70,72,Female,"basketball, car dealers",United States,
#117,Iris Fontbona,$10.5 B,$10.50,73,Female,mining,Chile,
#1374,Chen Baozhen,$1.5 B,$1.50,73,Female,internet,China,
#120,Massimiliana Landini Aleotti,$10.4 B,$10.40,73,Female,pharmaceuticals,Italy,
#1677,Lee Myung-Hee,$1.2 B,$1.20,73,Female,retail,South Korea,
#923,Judy Faulkner,$2.2 B,$2.20,73,Female,health IT,United States,
#1232,Charlotte Colket Weber,$1.7 B,$1.70,73,Female,Campbell Soup,United States,
#1744,Marie-Jeanne Meyer,$1.1 B,$1.10,74,Female,commodities,France,
#522,Friede Springer,$3.6 B,$3.60,74,Female,publishing,Germany,
#185,Margaretta Taylor,$7.1 B,$7.10,74,Female,media,United States,
#1062,Elaine Wynn,$1.9 B,$1.90,74,Female,"casinos, hotels",United States,
#707,Heidi Horten,$2.8 B,$2.80,75,Female,retail,Austria,
#329,Maria-Elisabeth Schaeffler,$5 B,$5,75,Female,auto parts,Germany,
#524,Elisabeth Mohn,$3.5 B,$3.50,75,Female,media,Germany,
#715,Yoshiko Mori,$2.8 B,$2.80,75,Female,real estate,Japan,
#1016,Suna Kirac,$2 B,$2,75,Female,diversified,Turkey,
#535,Dagmar Dolby,$3.5 B,$3.50,75,Female,Dolby Laboratories,United States,
#1744,Monique Roosmale Nepveu,$1.1 B,$1.10,76,Female,commodities,France,
#924,Rosely Schweizer,$2.2 B,$2.20,76,Female,consumer goods,Germany,
#200,Loretta Robinson & family,$6.7 B,$6.70,77,Female,cable tv,Canada,
#1545,Monika Schoeller,$1.3 B,$1.30,77,Female,publishing,Germany,
#1558,Lina Maria Aguiar,$1.3 B,$1.30,78,Female,banking inheritance,Brazil,
#1812,Lia Maria Aguiar,$1 B,$1,78,Female,banking inheritance,Brazil,
#1533,Lily Safra,$1.3 B,$1.30,78,Female,banking,Monaco,
#1121,Sybill Storz,$1.8 B,$1.80,79,Female,medical devices,Germany,
#695,Giuliana Benetton,$2.8 B,$2.80,79,Female,"clothing, investments",Italy,
#1231,Esther Grether,$1.7 B,$1.70,80,Female,"art collection, Swatch",Switzerland,
#1520,Anne Gittinger,$1.3 B,$1.30,80,Female,Nordstrom department stores,United States,
#1854,Norma Lerner,$1 B,$1,80,Female,finance,United States,
#499,Martha Ingram,$3.7 B,$3.70,81,Female,"book distribution, transportation",United States,
#212,Pauline MacMillan Keinath,$6.5 B,$6.50,82,Female,Cargill,United States,
#1656,Maria Helena Moraes Scripilliti,$1.2 B,$1.20,85,Female,diversified,Brazil,
#758,Doris Fisher,$2.6 B,$2.60,85,Female,Gap,United States,
#485,Imogene Powers Johnson,$3.7 B,$3.70,86,Female,cleaning products,United States,
#602,Josephine Louis & family,$3.2 B,$3.20,86,Female,cleaning products,United States,
#854,Semahat Sevim Arsel,$2.4 B,$2.40,88,Female,diversified,Turkey,
#1596,Dorrance Hamilton,$1.2 B,$1.20,88,Female,Campbell Soup,United States,
#1807,Daisy Igel,$1.1 B,$1.10,89,Female,"gas, petrochemicals",Brazil,
#507,Joan Tisch,$3.6 B,$3.60,90,Female,diversified,United States,
#1384,Martha Ford,$1.5 B,$1.50,90,Female,Ford Motor,United States,
#1376,Ana Maria Brescia Cafferata,$1.5 B,$1.50,92,Female,"mining, banking",Peru,
#1552,Erika Pohl-Stroeher,$1.3 B,$1.30,97,Female,hair products,Germany,
#31,Maria Franca Fissolo,$24.3 B,$24.30,98,Female,"Nutella, Chocolates",Italy,
#469,Traudl Engelhorn,$3.8 B,$3.80,-,Female,pharmaceuticals/medical equipment,Germany,
#469,Ursula Engelhorn,$3.8 B,$3.80,-,Female,pharmaceuticals/medical equipment,Germany,
#1034,Chan Tan Ching-fen,$2 B,$2,-,Female,real estate,Hong Kong,
#424,Rosa Anna Magno Garavoglia,$4.1 B,$4.10,-,Female,spirits,Italy,
#1784,Marina Prada,$1.1 B,$1.10,-,Female,Prada,Italy,
#216,Eva Gonda de Rivera,$6.4 B,$6.40,-,Female,beverages,Mexico,
#1743,Sudthida Ratanarak,$1.1 B,$1.10,-,Female,"media, real estate",Thailand,
#1243,Gustav Magnar Witzoe,$1.6 B,$1.60,23,Male,fish farming,Norway,
#1651,Ludwig Theodor Braun,$1.2 B,$1.20,26,Male,medical technology,Germany,
#965,Evan Spiegel,$2.1 B,$2.10,26,Male,Snapchat,United States,"Asked for what he wanted until he got a yes, Ask the people who could save him 20-30 years for work. Each Experience gave him new skills and gave him more confidence to get to yes. Used his network to catapult himself. Grew up a little bit, and did some introspection. ""Its not about working harder. Its about working the system"". But by making ""jumpcuts"" or shortcuts, you can sometimes make connections and open doors even without having them ""naturally"" in your life path."
#1129,Bobby Murphy,$1.8 B,$1.80,28,Male,Snapchat,United States,Snapchat Humanizes Technology into more natural one- to - many experiences creating fleeting and ephermeral moments
#1439,Wang Han,$1.4 B,$1.40,29,Male,"airline, diversified",China,
#107,Lukas Walton,$11 B,$11,29,Male,Wal-Mart,United States,
#1445,"Anton Kathrein, Jr.",$1.4 B,$1.40,31,Male,antennas,Germany,
#868,Tom Persson,$2.3 B,$2.30,31,Male,H&M,Sweden,
#834,"Julio Mario Santo Domingo, III.",$2.4 B,$2.40,31,Male,beer,United States,
#5,Mark Zuckerberg,$55 B,$55,32,Male,Facebook,United States,"The question isn't, 'What do we want to know about people?', It's, 'What do people want to tell about themselves?   ---- The Hacker Way is an approach to building that involves continuous improvement and iteration. Hackers believe that something can always be better, and that nothing is ever complete --- People don't care about what you say, they care about what you build.---- Advertising works most effectively when it's in line with what people are already trying to do"
#122,Dustin Moskovitz,$10.3 B,$10.30,32,Male,Facebook,United States,
#1615,Karl Friedrich Braun,$1.2 B,$1.20,33,Male,medical technology,Germany,
#1601,Binny Bansal,$1.2 B,$1.20,33,Male,flipkart,India,
#305,Scott Duncan,$5.2 B,$5.20,33,Male,pipelines,United States,
#576,Nathan Blecharczyk,$3.3 B,$3.30,33,Male,Airbnb,United States,
#1288,Ryan Graves,$1.6 B,$1.60,33,Male,Uber,United States,
#1811,Evan Sharp,$1.1 B,$1.10,33,Male,Pinterest,United States,
#1825,Drew Houston,$1 B,$1,33,Male,Dropbox,United States,"They say that you're the average of the five people you spend the most time with. Think about that for a minute: who would be in your circle of five? I have some good news: MIT is one of the best places in the world to start building that circle. If I hadn't come here, I wouldn't have met Adam, I wouldn't have met my amazing cofounder, Arash, and there would be no Dropbox. One thing I've learned is surrounding yourself with inspiring people is now just as important as being talented or working hard. Can you imagine if Michael Jordan hadn’t been in the NBA, if his circle of five had been a bunch of guys in Italy? Your circle pushes you to be better, just as Adam pushed me."
#172,Eduardo Saverin,$7.6 B,$7.60,34,Male,Facebook,Brazil,
#1629,Kirill Shamalov,$1.2 B,$1.20,34,Male,petrochemicals,Russia,
#1294,Ben Silbermann,$1.6 B,$1.60,34,Male,Pinterest,United States,"BE GREAT AT ONE THING THAT IS WORTHY OF SOMEONE'S TIME. THE FUTURE IS UNWRITTEN. DONT TAKE THINGS ON THEIR FACE. COMMITMENT MATTERS. running a startup is like going on a roadtrip in a shoddy car trying to get to a destination on imperfect maps and information, if you need to buy gas you can get help, but they may kick you out of the drivers seat.THERE ARE ALOT OF DIFFERENT WAYS TO SUCEED BECAUSE THERE ARE ALOT OF DIFFERENT PEOPLE IN THE WORLD. TRUST YOUR INSTINCT"
#513,Frank Wang,$3.6 B,$3.60,35,Male,drones,China,
#1601,Sachin Bansal,$1.2 B,$1.20,35,Male,flipkart,India,
#1559,Fahd Hariri,$1.3 B,$1.30,35,Male,"construction, investments",Lebanon,
#576,Brian Chesky,$3.3 B,$3.30,35,Male,Airbnb,United States,
#576,Joe Gebbia,$3.3 B,$3.30,35,Male,Airbnb,United States,
#980,Mike Cannon-Brookes,$2.1 B,$2.10,36,Male,business software,Australia,
#995,Scott Farquhar,$2.1 B,$2.10,36,Male,software,Australia,
#1072,Zhang Bangxin,$1.9 B,$1.90,36,Male,after school tutoring,China,
#1777,Cai Xiaoru,$1.1 B,$1.10,36,Male,electronic components,China,
#669,Marie Besnier Beauvalot,$2.9 B,$2.90,36,Male,cheese,France,
#829,Sean Parker,$2.4 B,$2.40,36,Male,Facebook,United States,
#220,Garrett Camp,$6.3 B,$6.30,37,Male,Uber Technologies,Canada,
#848,Adam Neumann,$2.4 B,$2.40,37,Male,WeWork,Israel,
#1490,Markus Persson,$1.3 B,$1.30,37,Male,Minecraft,Sweden,
#708,Otto Philipp Braun,$2.8 B,$2.80,38,Male,medical technology,Germany,
#1092,Robert Toennies,$1.9 B,$1.90,38,Male,meat processing,Germany,
#1689,Naruatsu Baba,$1.2 B,$1.20,38,Male,smartphone games,Japan,
#1559,Ayman Hariri,$1.3 B,$1.30,38,Male,"construction, investments",Lebanon,
#346,Andres Santo Domingo,$4.9 B,$4.90,38,Male,beer,United States,
#604,Robert Pera,$3.2 B,$3.20,38,Male,wireless networking gear,United States,
#1619,Bryan Sheffield,$1.2 B,$1.20,38,Male,oil and gas,United States,
#1432,Li Weiwei,$1.4 B,$1.40,39,Male,online games,China,
#1566,Wu Gang,$1.3 B,$1.30,39,Male,money management,China,
#1405,Bernhard Braun-Luedicke,$1.4 B,$1.40,39,Male,medical technology,Germany,
#1382,Lawrence Ho,$1.5 B,$1.50,39,Male,casinos,Hong Kong,
#1716,Yoshikazu Tanaka,$1.1 B,$1.10,39,Male,online social network,Japan,
#346,Alejandro Santo Domingo,$4.9 B,$4.90,39,Male,beer,United States,
#1774,Jack Dorsey,$1.1 B,$1.10,39,Male,Twitter,United States,
#747,Yusaku Maezawa,$2.6 B,$2.60,40,Male,online retail,Japan,
#1576,Kenji Kasahara,$1.3 B,$1.30,40,Male,social networking website,Japan,
#146,Jan Koum,$8.7 B,$8.70,40,Male,WhatsApp,United States,BUILD A COMPANY THAT LASTS 100 YEARS. NO ADS. NO GAMES. NO GIMMICKS. Our focus keeps us small and keeps giving value to users. We believe that simplicity and utility are what drive our products. Jan and I are both utilitarian in nature. We want to build a product people can rely on. On the internet there is a lot of flash and fad. What we are trying to build here is a long-term persistent sustainability
#220,Travis Kalanick,$6.3 B,$6.30,40,Male,Uber Technologies,United States,
#1753,Brian Sheth,$1.1 B,$1.10,40,Male,investments,United States,
#1540,Zeng Kaitian,$1.3 B,$1.30,41,Male,online games,China,
#866,Karl-Johan Persson,$2.3 B,$2.30,41,Male,H&M,Sweden,
#1759,Mohammed Dewji,$1.1 B,$1.10,41,Male,diversified,Tanzania,
#1006,"Chase Coleman, III.",$2.1 B,$2.10,41,Male,hedge fund,United States,
#1635,Chris Sacca,$1.2 B,$1.20,41,Male,venture capital investing,United States,
#1795,Nicholas Woodman,$1.1 B,$1.10,41,Male,GoPro,United States,
#422,Mark Scheinberg,$4.1 B,$4.10,42,Male,online gambling,Canada,
#202,Liu Qiangdong,$6.7 B,$6.70,42,Male,e-commerce,China,
#1300,Sameer Gehlaut,$1.6 B,$1.60,42,Male,finance,India,
#1521,Dan Gertler,$1.3 B,$1.30,42,Male,mining,Israel,
#1386,David Penaloza Alanis,$1.5 B,$1.50,42,Male,toll roads,Mexico,
#321,Kwon Hyuk-Bin,$5 B,$5,42,Male,online games,South Korea,
#1643,Gary Fegel,$1.2 B,$1.20,42,Male,commodities trading,Switzerland,
#662,John Arnold,$2.9 B,$2.90,42,Male,hedge funds,United States,
#1272,Miguel McKelvey,$1.6 B,$1.60,42,Male,WeWork,United States,
#1786,Jonathan Oringer,$1.1 B,$1.10,42,Male,stock photos,United States,
#268,Yan Zhi,$5.6 B,$5.60,43,Male,real estate,China,
#330,Jason Jiang,$5 B,$5,43,Male,advertising,China,
#376,Jia Yueting,$4.6 B,$4.60,43,Male,online video,China,
#541,Wang Xing,$3.5 B,$3.50,43,Male,e-commerce,China,
#948,Fang Wei,$2.2 B,$2.20,43,Male,steel,China,
#1095,Sun Qinghuan,$1.9 B,$1.90,43,Male,lighting,China,
#1364,Wang Jing,$1.5 B,$1.50,43,Male,telecom services,China,
#1437,Ru Jiyong,$1.4 B,$1.40,43,Male,"home, office products",China,
#1778,Wang Junhao,$1.1 B,$1.10,43,Male,regional airline,China,
#259,Anders Holch Povlsen,$5.8 B,$5.80,43,Male,retail,Denmark,
#924,Carl Ferdinand Oetker,$2.2 B,$2.20,43,Male,consumer goods,Germany,
#1207,Ranjan Pai,$1.7 B,$1.70,43,Male,education,India,
#1816,Viktor Kharitonin,$1 B,$1,43,Male,pharmaceuticals,Russia,
#1459,Kim Nam-Jung,$1.4 B,$1.40,43,Male,Food,South Korea,
#12,Larry Page,$38.2 B,$38.20,43,Male,Google,United States,
#13,Sergey Brin,$37.3 B,$37.30,43,Male,Google,United States,
#29,Ma Huateng,$24.5 B,$24.50,44,Male,internet services,China,
#70,William Ding,$13.7 B,$13.70,44,Male,online games,China,
#137,Zhang Zhidong,$9.1 B,$9.10,44,Male,internet media,China,
#575,Teddy Sagi,$3.3 B,$3.30,44,Male,gambling software,Israel,
#94,Andrey Melnichenko,$11.5 B,$11.50,44,Male,"coal, fertilizers",Russia,
#500,God Nisanov,$3.7 B,$3.70,44,Male,real estate,Russia,
#1128,Mikail Shishkhanov,$1.8 B,$1.80,44,Male,"oil, banking, real estate",Russia,
#1187,Danil Khachaturov,$1.7 B,$1.70,44,Male,"insurance, banking, real estate",Russia,
#1776,Andrei Molchanov,$1.1 B,$1.10,44,Male,construction materials,Russia,
#1047,Hamdi Ulukaya,$2 B,$2,44,Male,Chobani yogurt,Turkey,
#282,Brian Acton,$5.3 B,$5.30,44,Male,WhatsApp,United States,
#357,Daniel Ziff,$4.8 B,$4.80,44,Male,investments,United States,
#651,Kevin Plank,$3 B,$3,44,Male,Under Armour,United States,
#881,Michael Rubin,$2.3 B,$2.30,44,Male,online retailing,United States,
#1394,Evan Williams,$1.5 B,$1.50,44,Male,Twitter,United States,
#418,Wang Wei,$4.1 B,$4.10,45,Male,package delivery service,China,
#664,Chen Jianhua,$2.9 B,$2.90,45,Male,chemicals,China,
#1089,Yi Zheng,$1.9 B,$1.90,45,Male,software,China,
#1148,Ding Shizhong,$1.8 B,$1.80,45,Male,sports apparel,China,
#1644,Wang Haipeng,$1.2 B,$1.20,45,Male,packaging products,China,
#1732,Shen Ya,$1.1 B,$1.10,45,Male,online apparel retail,China,
#1750,Chen Yansheng,$1.1 B,$1.10,45,Male,"toys, entertainment",China,
#1193,Radovan Vitek,$1.7 B,$1.70,45,Male,real estate,Czech Republic,
#159,Emmanuel Besnier,$8.4 B,$8.40,45,Male,cheese,France,
#1192,Nirav Modi,$1.7 B,$1.70,45,Male,diamond jewelry,India,
#383,Sergei Popov,$4.5 B,$4.50,45,Male,banking,Russia,
#1804,Alexei Bogachev,$1.1 B,$1.10,45,Male,"retail, banking",Russia,
#678,Chung Eui-Sun,$2.9 B,$2.90,45,Male,logistics,South Korea,
#97,Elon Musk,$11.4 B,$11.40,45,Male,Tesla Motors,United States,
#1351,Alfredo Egydio Arruda Villela Filho,$1.5 B,$1.50,46,Male,banking,Brazil,
#126,Lei Jun,$9.9 B,$9.90,46,Male,smartphones,China,
#261,Pan Zhengmin,$5.7 B,$5.70,46,Male,electronics,China,
#657,Simon Xie,$3 B,$3,46,Male,online payment service,China,
#718,Du Jiangtao,$2.8 B,$2.80,46,Male,chemicals,China,
#729,Qi Shi,$2.7 B,$2.70,46,Male,financial information,China,
#1075,Yao Zhenhua,$1.9 B,$1.90,46,Male,logistics & real estate,China,
#1571,Wang Jianfeng,$1.3 B,$1.30,46,Male,auto parts,China,
#1279,King Pak Fu,$1.6 B,$1.60,46,Male,real estate,Hong Kong,
#1441,Lo Siu Yu,$1.4 B,$1.40,46,Male,conglomerate,Hong Kong,
#1408,Vikas Oberoi,$1.4 B,$1.40,46,Male,real estate,India,
#1290,Saad Hariri,$1.6 B,$1.60,46,Male,"construction, investments",Lebanon,
#1240,Igor Altushkin,$1.6 B,$1.60,46,Male,metals,Russia,
#1217,John Coates,$1.7 B,$1.70,46,Male,online gambling,United Kingdom,
